event,version,catalog,GPS,snr,p_astro,far_yr,m1_source,m1_source_lower,m1_source_upper,m2_source,m2_source_lower,m2_source_upper,M_total_source,chirp_mass_source,chi_eff,chi_eff_lower,chi_eff_upper,final_mass_source,final_spin,luminosity_distance,redshift,reference,jsonurl,detectors,n_strain_files,is_problematic,glitch_mitigated,quality_note
GW170817,3,GWTC-1-confident,1187008882.4,33.0,1.0,1e-07,1.46,-0.1,0.12,1.27,-0.09,0.09,,1.186,0.0,-0.01,0.02,2.8,,40.0,0.01,https://doi.org/10.7935/82H3-HH23,https://gwosc.org/eventapi/json/GWTC-1-confident/GW170817/v3,"G1,H1,L1,V1",48,False,False,
GW200129_065458,1,GWTC-3-confident,1264316116.4,26.8,0.99,1e-05,34.5,-3.1,9.9,29.0,-9.3,3.3,63.3,27.2,0.11,-0.16,0.11,60.2,-3.2,890.0,0.18,/GWTC-3/,https://gwosc.org/eventapi/json/GWTC-3-confident/GW200129_065458/v1,"H1,L1,V1",36,False,True,Glitch mitigado: L1: linear subtraction (gwsubtract)
GW190521_074359,2,GWTC-2.1-confident,1242459857.4,25.9,1.0,1e-05,43.4,-5.5,5.8,33.4,-6.8,5.2,76.3,32.8,0.1,-0.13,0.13,72.6,-5.4,1080.0,0.21,/GWTC-2.1/,https://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190521_074359/v2,"H1,L1",24,False,False,
GW190814,3,GWTC-2.1-confident,1249852257.0,25.3,1.0,1e-05,23.3,-1.4,1.4,2.6,-0.1,0.1,25.9,6.11,0.0,-0.07,0.07,25.7,-1.3,230.0,0.05,/GWTC-2.1/,https://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190814/v3,"H1,L1,V1",36,False,False,
GW200224_222234,1,GWTC-3-confident,1266618172.4,20.0,0.99,1e-05,40.0,-4.5,6.7,32.7,-7.2,4.8,72.3,31.1,0.1,-0.16,0.15,68.7,-4.8,1710.0,0.32,/GWTC-3/,https://gwosc.org/eventapi/json/GWTC-3-confident/GW200224_222234/v1,"H1,L1,V1",36,False,False,
GW200112_155838,1,GWTC-3-confident,1262879936.0,19.8,0.99,1e-05,35.6,-4.5,6.7,28.3,-5.9,4.4,63.9,27.4,0.06,-0.15,0.15,60.8,-4.3,1250.0,0.24,/GWTC-3/,https://gwosc.org/eventapi/json/GWTC-3-confident/GW200112_155838/v1,"L1,V1",24,False,False,
GW190412,4,GWTC-2.1-confident,1239082262.1,19.8,1.0,1e-05,27.7,-6.0,6.0,9.0,-1.4,2.0,36.8,13.3,0.21,-0.13,0.12,35.6,-4.5,720.0,0.15,/GWTC-2.1/,https://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190412/v4,"H1,L1,V1",36,False,False,
GW191216_213338,1,GWTC-3-confident,1260567236.4,18.6,0.99,1e-05,12.1,-2.2,4.6,7.7,-1.9,1.6,19.8,8.33,0.11,-0.06,0.13,18.87,-0.93,340.0,0.07,/GWTC-3/,https://gwosc.org/eventapi/json/GWTC-3-confident/GW191216_213338/v1,"H1,V1",24,False,False,
GW200311_115853,1,GWTC-3-confident,1267963151.3,17.8,0.99,1e-05,34.2,-3.8,6.4,27.7,-5.9,4.1,61.9,26.6,-0.02,-0.2,0.16,59.0,-3.9,1170.0,0.23,/GWTC-3/,https://gwosc.org/eventapi/json/GWTC-3-confident/GW200311_115853/v1,"H1,L1,V1",36,False,False,
GW191204_171526,1,GWTC-3-confident,1259514944.0,17.4,0.99,1e-05,11.7,-1.7,3.3,8.4,-1.7,1.3,20.19,8.56,0.16,-0.05,0.08,19.18,-0.93,640.0,0.13,/GWTC-3/,https://gwosc.org/eventapi/json/GWTC-3-confident/GW191204_171526/v1,"H1,L1",24,False,False,
GW191109_010717,1,GWTC-3-confident,1257296855.2,17.3,0.99,0.00018,65.0,-11.0,11.0,47.0,-13.0,15.0,112.0,47.5,-0.29,-0.31,0.42,107.0,-15.0,1290.0,0.25,/GWTC-3/,https://gwosc.org/eventapi/json/GWTC-3-confident/GW191109_010717/v1,"H1,L1",24,False,True,Glitch mitigado: H1+L1: BayesWave deglitching
GW190828_063405,2,GWTC-2.1-confident,1251009263.7,16.5,1.0,1e-05,31.9,-4.1,5.4,25.8,-5.3,4.9,57.2,24.6,0.15,-0.16,0.15,54.3,-4.0,2070.0,0.38,/GWTC-2.1/,https://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190828_063405/v2,"H1,L1,V1",36,False,False,
GW190630_185205,2,GWTC-2.1-confident,1245955943.1,16.4,1.0,1e-05,35.1,-5.5,6.5,24.0,-5.2,5.5,59.4,25.1,0.1,-0.13,0.14,56.6,-4.5,870.0,0.18,/GWTC-2.1/,https://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190630_185205/v2,"L1,V1",24,False,False,
GW190519_153544,2,GWTC-2.1-confident,1242315362.3,15.9,1.0,1e-05,65.1,-11.0,10.8,40.8,-12.7,11.5,105.6,44.3,0.33,-0.24,0.2,100.0,-12.9,2600.0,0.45,/GWTC-2.1/,https://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190519_153544/v2,"H1,L1,V1",36,False,False,
GW190408_181802,2,GWTC-2.1-confident,1238782700.2,14.6,1.0,1e-05,24.8,-3.5,5.4,18.5,-4.0,3.3,43.4,18.5,-0.03,-0.17,0.13,41.4,-2.9,1540.0,0.29,/GWTC-2.1/,https://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190408_181802/v2,"H1,L1,V1",36,False,False,
GW190910_112807,2,GWTC-2.1-confident,1252150105.3,14.5,0.99669,0.0029,43.8,-6.8,7.6,34.2,-7.3,6.6,78.0,33.5,0.0,-0.2,0.17,74.4,-8.6,1520.0,0.29,/GWTC-2.1/,https://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190910_112807/v2,"L1,V1",24,False,False,
GW190521,4,GWTC-2.1-confident,1242442967.4,14.3,0.99989,0.0013,98.4,-21.7,33.6,57.2,-30.1,27.1,153.1,63.3,-0.14,-0.45,0.5,147.4,-16.0,3310.0,0.56,/GWTC-2.1/,https://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190521/v4,"H1,L1,V1",36,False,False,
GW190708_232457,2,GWTC-2.1-confident,1246663515.3,13.4,0.99965,0.00031,19.8,-4.3,4.3,11.6,-2.0,3.1,31.4,13.1,0.05,-0.1,0.1,30.1,-2.1,930.0,0.19,/GWTC-2.1/,https://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190708_232457/v2,"L1,V1",24,False,False,
